ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001140361-24-016682	LSP Generation IV, LLC  By: /s/ Jeff Wade Name: Jeff Wade Title: Chief Compliance Officer	29-MAR-2024
0001140361-24-016682	Gen IV Investment Opportunities, LLC  By: /s/ Jeff Wade Name: Jeff Wade Title: Chief Compliance Officer	29-MAR-2024
0001415889-24-009450	/s/ Benjamin Hohl	29-MAR-2024
0001714899-24-000097	/s/ Tyler Nielsen, by power of attorney	29-MAR-2024
0001593968-24-000519	/s/By POA from Dara W. Wanzer	29-MAR-2024
0001593968-24-000518	/s/By POA from Darryl Schmidt	29-MAR-2024
0000920148-24-000025	/s/ Sandra D. van der Vaart	29-MAR-2024
0001777393-24-000048	/s/ Natella Novruzova - Attorney-in-Fact	29-MAR-2024
0001593968-24-000517	/s/ By POA from David E Rainbolt	29-MAR-2024
0000950170-24-038789	/s/ Noah F. Webster, Attorney-in-Fact	29-MAR-2024
0001593968-24-000516	/s/Lawrence Kevin	29-MAR-2024
0000950170-24-038787	/s/ Sandra J. Spencer	29-MAR-2024
0001593968-24-000515	/s/By POA from David R Harlow	29-MAR-2024
0001793659-24-000026	/s/ Kyle Sauers as Attorney-in-fact	29-MAR-2024
0001581760-24-000016	/s/ Jay Sood, as Attorney-in-Fact	29-MAR-2024
0000950170-24-038784	/s/ Noah F. Webster, Attorney-in-Fact	29-MAR-2024
0001593968-24-000514	/s/By POA from Dennis Jay Hannah	29-MAR-2024
0001517375-24-000045	/s/ Heidi Jonas, Attorney-in-fact for Ryan Paul Barretto	29-MAR-2024
0001581760-24-000014	/s/ Jay Sood, as Attorney-in-Fact	29-MAR-2024
0001593968-24-000513	/s/By POA from Joe Goyne	29-MAR-2024
0001593968-24-000512	/s/By POA from Kelly Foster	29-MAR-2024
0000072903-24-000069	Kristin L. Westlund, Attorney in Fact for Timothy A. Welsh	29-MAR-2024
0000920148-24-000024	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Brian J. Caveney	29-MAR-2024
0000072903-24-000067	Kristin L. Westlund, Attorney in Fact for Christopher J. Policinski	29-MAR-2024
0001517375-24-000043	/s/ Heidi Jonas, Attorney-in-fact for Aaron E.F. Rankin	29-MAR-2024
0001593968-24-000511	/s/By POA from Randy Foraker	29-MAR-2024
0001213900-24-028103	/s/ Kristine M. Jacques	29-MAR-2024
0001593968-24-000510	/s/By POA from Roy C Ferguson	29-MAR-2024
0001517375-24-000041	/s/ Heidi Jonas, Attorney-in-fact for Joseph Del Preto	29-MAR-2024
0000072903-24-000065	Kristin L. Westlund, Attorney in Fact for Charles G. Pardee	29-MAR-2024
0001628280-24-013830	/s/ Aby J. Mathew	29-MAR-2024
0001593968-24-000509	/s/By POA from Scott Copeland	29-MAR-2024
0001628280-24-013829	/s/ Todd Berard	29-MAR-2024
