ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038652	1945616	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038648	1972088	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038626	1804383	Class B Common Stock			F7				F7		F7	Class A Common Stock		1961668.0				1961668.0				I		Shares owned by LLC	F8
0001415889-24-009425	1806022	Stock Options (right  to buy)		73.61					F5	26-MAR-2029		Common Stock		15337.0				15337.0				D			
0001415889-24-009425	1806019	Stock Option (right to buy)		14.0					F5	30-JUL-2024		Common Stock		70000.0				70000.0				D			
0001415889-24-009425	1806020	Stock Option (right to buy)		41.28					F5	27-MAR-2027		Common Stock		19897.0				19897.0				D			
0001415889-24-009425	1806021	Stock Options (right to buy)		61.72					F5	27-MAR-2028		Common Stock		14228.0				14228.0				D			
0001415889-24-009421	1959885	Stock Option (right to buy)		41.28					F3	27-MAR-2027		Common Stock		17409.0				17409.0				D			
0001415889-24-009421	1959886	Stock Option (right to buy)		61.72					F3	27-MAR-2028		Common Stock		23929.0				23929.0				D			
0001415889-24-009421	1959890	Stock Option (right to buy)		73.61					F3	26-MAR-2029		Common Stock		12782.0				12782.0				I		by GKF, LLC	
0001415889-24-009421	1959888	Stock Option (right to buy)		41.28					F3	27-MAR-2027		Common Stock		34820.0				34820.0				I		by GKF, LLC	
0001415889-24-009421	1959889	Stock Option (right to buy)		61.72					F3	27-MAR-2028		Common Stock		23930.0				23930.0				I		by GKF, LLC	
0001415889-24-009421	1959887	Stock Option (right to buy)		73.61					F3	26-MAR-2029		Common Stock		38343.0				38343.0				D			
0001415889-24-009403	1959717	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		3616.0				3616.0				D			
0001415889-24-009403	1959716	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		2099.0				2099.0				D			
0001415889-24-009403	1959715	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		2670.0				2670.0				D			
0001415889-24-009403	1959714	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		3600.0				3600.0				D			
0001415889-24-009403	1959713	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		4140.0				4140.0				D			
0001415889-24-009403	1959718	Stock Options (Right to Buy)		34.03					F2	01-MAR-2032		Common Stock		4629.0				4629.0				D			
0001415889-24-009403	1959711	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		3720.0				3720.0				D			
0001415889-24-009403	1959710	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		5380.0				5380.0				D			
0001415889-24-009403	1959709	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		2980.0				2980.0				D			
0001415889-24-009403	1959708	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		1300.0				1300.0				D			
0001415889-24-009403	1959712	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		2000.0				2000.0				D			
0001415889-24-009402	1768590	Stock Options (Right to Buy)		34.03					F2	01-MAR-2032		Common Stock		1944.0				1944.0				D			
0001415889-24-009402	1768589	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		1429.0				1429.0				D			
0001415889-24-009402	1768588	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		1153.0				1153.0				D			
0001415889-24-009402	1768587	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		1770.0				1770.0				D			
0001415889-24-009402	1768586	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		1580.0				1580.0				D			
0001415889-24-009402	1768585	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		980.0				980.0				D			
0001415889-24-009402	1768584	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		1740.0				1740.0				D			
0001415889-24-009402	1768583	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		1560.0				1560.0				D			
0001415889-24-009402	1768582	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		2400.0				2400.0				D			
0001415889-24-009402	1768580	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		1300.0				1300.0				D			
0001415889-24-009402	1768581	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		2200.0				2200.0				D			
0001415889-24-009401	1808598	Stock Options (Right to Buy)		44.45					F1	01-MAR-2029		Common Stock		3960.0				3960.0				D			
0001415889-24-009401	1808599	Stock Options (Right to Buy)		40.1					F1	02-MAR-2030		Common Stock		2930.0				2930.0				D			
0001415889-24-009401	1808600	Stock Options (Right to Buy)		38.25					F1	01-MAR-2031		Common Stock		1864.0				1864.0				D			
0001415889-24-009401	1808601	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		2730.0				2730.0				D			
0001415889-24-009401	1808602	Stock Options (Right to Buy)		34.03					F1	01-MAR-2032		Common Stock		3143.0				3143.0				D			
0001415889-24-009401	1808593	Stock Options (Right to Buy)		25.38					F1	02-MAR-2025		Common Stock		5760.0				5760.0				D			
0001415889-24-009401	1808594	Stock Options (Right to Buy)		24.83					F1	01-MAR-2026		Common Stock		5900.0				5900.0				D			
0001415889-24-009401	1808595	Stock Options (Right to Buy)		34.8					F1	01-MAR-2027		Common Stock		4100.0				4100.0				D			
0001415889-24-009401	1808596	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		2040.0				2040.0				D			
0001415889-24-009401	1808597	Stock Options (Right to Buy)		33.58					F1	01-MAR-2028		Common Stock		4560.0				4560.0				D			
0001415889-24-009399	1750780	Stock Options (Right to Buy)		40.1					F1	02-MAR-2030		Common Stock		300.0				300.0				D			
0001415889-24-009399	1750781	Stock Options (Right to Buy)		38.25					F1	01-MAR-2031		Common Stock		926.0				926.0				D			
0001415889-24-009399	1750783	Stock Options (Right to Buy)		34.03					F1	01-MAR-2032		Common Stock		1709.0				1709.0				D			
0001415889-24-009399	1750782	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		1829.0				1829.0				D			
0001127602-24-011437	1730449	Option (Right to Buy)		28.22					F5	16-MAR-2030		Common Stock		197.0								D			
0001127602-24-011437	1730450	Option (Right to Buy)		32.73					F6	15-MAR-2031		Common Stock		90.0								D			
0001127602-24-011437	1730451	Option (Right to Buy)		38.58					F7	14-MAR-2032		Common Stock		73.0								D			
0001127602-24-011437	1730448	Option (Right to Buy)		29.84					F4	18-MAR-2029		Common Stock		190.0								D			
0001127602-24-011437	1730447	Option (Right to Buy)		34.33					F3	19-MAR-2028		Common Stock		75.0								D			
0001127602-24-011437	1730446	Option (Right to Buy)		30.46					F2	20-MAR-2027		Common Stock		74.0								D			
0001127602-24-011437	1730445	Option (Right to Buy)		21.86					F1	14-MAR-2026		Common Stock		189.0								D			
0001415889-24-009397	1784461	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		10360.0				10360.0				D			
0001415889-24-009397	1784460	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		14820.0				14820.0				D			
0001415889-24-009397	1784459	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		14340.0				14340.0				D			
0001415889-24-009397	1784458	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		8400.0				8400.0				D			
0001415889-24-009397	1784462	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		5420.0				5420.0				D			
0001415889-24-009397	1784465	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		7430.0				7430.0				D			
0001415889-24-009397	1784464	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		10030.0				10030.0				D			
0001415889-24-009397	1784463	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		11540.0				11540.0				D			
0001415889-24-009397	1784466	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		4723.0				4723.0				D			
0000794367-24-000072	1802801	Restricted Stock Units			F2				F1		F1	Common Stock		37313.0								D			
0000794367-24-000072	1802802	Restricted Stock Units			F2				F3		F3	Common Stock		12437.0								D			
0001062993-24-007428	1908542	Phantom Stock			F1				F1		F1	Common Stock - Voting		0.0				2478.91				I		Non Qualified Retirement Savings Plan	
0001062993-24-007424	1896873	Phantom Stock			F1				F1		F1	Common Stock - Voting		0.0				27649.55				I		Non Qualified Retirement Savings Plan	
0001962329-24-000002	1727430	Class B Ordinary Shares, par value $0.05 per share			F5				F5		F5	Class A Ordinary Shares, par value $0.05 per share		8076732.0				8076732.0				I		By Shan Lao Hu Tong LLC, Ji Xiang Hu Tong Holdings Limited and TALENT BOOM GROUP LIMITED	F4, F6
0000950170-24-038455	1847393	Stock Option (Right to Buy)		1.13					F5	21-OCT-2030		Common Stock		75000.0								D			
0000950170-24-038455	1847394	Stock Option (Right to Buy)		1.23					F6	16-DEC-2030		Common Stock		50000.0								D			
0000950170-24-038455	1847395	Stock Option (Right to Buy)		1.11					F7	14-DEC-2031		Common Stock		50000.0								D			
0000950170-24-038455	1847396	Stock Option (Right to Buy)		1.51					F8	13-DEC-2032		Common Stock		150000.0								D			
0000950170-24-038455	1847397	Stock Option (Right to Buy)		4.45					F9	14-DEC-2033		Common Stock		40000.0								D			
0000950170-24-038455	1847391	Stock Option (Right to Buy)		11.0					F3	30-MAY-2029		Common Stock		2000.0								D			
0000950170-24-038455	1847390	Stock Option (Right to Buy)		10.01					F2	18-OCT-2028		Common Stock		20000.0								D			
0000950170-24-038455	1847392	Stock Option (Right to Buy)		1.57					F4	17-DEC-2029		Common Stock		25000.0								D			
0001140361-24-016364	1866065	Warrants to purchase Class A Common Stock		11.5					F3		F4	Class A Common Stock		71340.0				71340.0	F1			I		See footnote	F2
0001934737-24-000010	1727439	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001934737-24-000010	1727438	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001934737-24-000010	1727437	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		30000000.0				30000000.0	F1			D			
0001476840-24-000039	1706036	LT50 Common Stock			F10				F10		F10	Class A Common Stock		534925.0				534925.0				I		See note	F11, F12
0001476840-24-000037	1984292	LT50 Common Stock			F17				F17		F17	Class A Common Stock		3583249.0				3583249.0				I		See note	F9, F18
0001408939-24-000002	1839961	Employee Stock Option (Right to Buy)		0.22				21-FEB-2023		21-FEB-2028		Common Stock		50000.0	F6			518750.0				D			
0001408939-24-000002	1839960	Employee Stock Option (Right to Buy)		0.39				01-FEB-2022		01-FEB-2027		Common Stock		150000.0	F5			518750.0				D			
0001408939-24-000002	1839959	Employee Stock Option (Right to Buy)		0.81				06-APR-2021		06-APR-2026		Common Stock		50000.0	F4			518750.0				D			
0001408939-24-000002	1839958	Employee Stock Option (Right to Buy)		0.39				01-FEB-2021		01-FEB-2026		Common Stock		50000.0	F3			518750.0				D			
0001408939-24-000002	1839957	Employee Stock Option (Right to Buy)		0.33				30-JUN-2020		30-JUN-2025		Common Stock		50000.0	F2			518750.0				D			
0001493152-24-011826	1715121	Stock option		5.85				20-MAY-2020		20-MAY-2027		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715122	Stock option		6.76				26-JUL-2019		26-JUL-2026		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715123	Stock option		9.36				27-APR-2018		27-APR-2025		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715124	Stock option		7.15				15-SEP-2018		15-SEP-2025		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715125	Stock option		9.36				25-NOV-2017		25-NOV-2024		Common Stock		9616.0				9616.0				D			
0001493152-24-011826	1715126	Stock option		7.93				27-MAY-2017		27-MAY-2024		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715127	Q Warrants		3.51				31-MAR-2020		30-MAR-2025		Common Stock		75029.0				75029.0				D			
0001493152-24-011826	1715128	M Warrants		9.1				30-MAR-2019		30-MAR-2024		Common Stock		56280.0				56280.0				D			
0001493152-24-011826	1715117	Stock option		1.33				27-APR-2024		27-APR-2031		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715118	Stock option		6.79				27-APR-2023		27-APR-2030		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715119	Stock option		5.72				27-APR-2022		27-APR-2029		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1715120	Stock option		4.94				25-APR-2021		25-APR-2028		Common Stock		19231.0				19231.0				D			
0001493152-24-011824	1934276	Stock Option (right to buy)		5.95				17-JAN-2024		17-JAN-2030		Common Stock		15385.0				15385.0				D			
0001474506-24-000118	1885007	Right to receive Earnout Shares			F2				F2		F2	Common Stock, par value $0.0001 per share		36000000.0	F2, F3, F5, F4							D			
0001315098-24-000065	1849305	Performance Stock Unit		0.0					F2		F2	Class  A Common Stock		114776.0	F3							D			
0001415889-24-009375	1726872	Class B common stock		0.0					F2		F2	Class A common stock		28182.0				28182.0				I		By charitable remainder trust UAD 3/15/22	
0001062993-24-007385	1871491	Stock Option (Right to Buy)		4.53					F4	19-MAY-2030		Common Stock, par value $.01		6416.0				6416.0				D			
0001062993-24-007385	1871489	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		23365.0				23365.0				D			
0001062993-24-007385	1871493	Stock Option (Right to Buy)		12.0					F4	19-MAY-2030		Common Stock, par value $.01		3666.0				3666.0				D			
0001062993-24-007385	1871488	Phantom Stock		0.0	F2				F2		F2	Common Stock, par value $.01		22075.0				22075.0				D			
0001062993-24-007385	1871490	Stock Option (Right to Buy)		3.03					F4	19-MAY-2027		Common Stock, par value $.01		21081.0				21081.0				D			
0001062993-24-007385	1871492	Stock Option (Right to Buy)		6.03					F4	19-MAY-2030		Common Stock, par value $.01		6416.0				6416.0				D			
0001062993-24-007384	1968356	Phantom Stock		0.0	F7				F7		F7	Common Stock, par value $.01		82585.0				82585.0				D			
0001062993-24-007384	1968361	Stock Option (Right to Buy)		12.0					F9	19-MAY-2030		Common Stock, par value $.01		4400.0				4400.0				D			
0001062993-24-007384	1968360	Stock Option (Right to Buy)		6.03					F9	19-MAY-2030		Common Stock, par value $.01		7699.0				7699.0				D			
0001062993-24-007384	1968359	Stock Option (Right to Buy)		4.53					F9	19-MAY-2030		Common Stock, par value $.01		7699.0				7699.0				D			
0001062993-24-007384	1968358	Stock Option (Right to Buy)		3.03					F9	19-MAY-2027		Common Stock, par value $.01		25297.0				25297.0				D			
0001062993-24-007384	1968357	Restricted Stock Units		0.0	F8				F8		F8	Common Stock, par value $.01		23365.0				23365.0				D			
0001062993-24-007383	1909151	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		1150000.0				1150000.0				D			
0001062993-24-007383	1909150	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		170733.0				170733.0				D			
0001062993-24-007383	1909149	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		298780.0				298780.0				D			
0001062993-24-007383	1909148	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		298780.0				298780.0				D			
0001062993-24-007383	1909147	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		981707.0				981707.0				D			
0001062993-24-007383	1909154	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		200000.0				200000.0				D			
0001062993-24-007383	1909145	Restricted Stock Units		0.0	F5				F5		F5	Common stock, par value $.01		200000.0				200000.0				D			
0001062993-24-007383	1909144	Restricted Stock Units		0.0	F4				F4		F4	Common stock, par value $.01		100000.0				100000.0				D			
0001062993-24-007383	1909143	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		589006.0				589006.0				D			
0001062993-24-007383	1909152	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		350000.0				350000.0				D			
0001062993-24-007383	1909153	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		350000.0				350000.0				D			
0001062993-24-007383	1909146	Phantom Stock		0.0	F6				F6		F6	Common Stock, par value $.01		241589.0				241589.0				D			
0001062993-24-007382	1834306	Stock Option (Right to Buy)		4.28					F5	17-MAY-2030		Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1834307	Stock Option (Right to Buy)		4.28					F6	17-MAY-2030		Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1834308	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		15000.0				15000.0				D			
0001062993-24-007382	1834309	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1834310	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1834304	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1834313	Stock Option (Right to Buy)		12.5					F7	13-SEP-2027		Common Stock, par value $.01		30457.0				30457.0				D			
0001062993-24-007382	1834305	Performance Stock Units		0.0	F4				F4		F4	Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1834311	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1834312	Stock Option (Right to Buy)		3.09					F7	15-JAN-2026		Common Stock, par value $.01		89744.0				89744.0				D			
0001062993-24-007381	1908496	Stock Option (Right to Buy)		12.0					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1908495	Stock Option (Right to Buy)		6.03					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1908494	Stock Option (Right to Buy)		4.53					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1908493	Stock Option (Right to Buy)		3.03					F5	19-FEB-2026		Common Stock, par value $.01		15000.0				15000.0				D			
0001062993-24-007381	1908492	Performance Stock Units		0.0	F4				F4		F4	Common Stock, par value $.01		50000.0				50000.0				D			
0001062993-24-007381	1908491	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		50000.0				50000.0				D			
0001062993-24-007381	1908497	Stock Option (Right to Buy)		16.24					F5	30-JUN-2026		Common Stock, par value $.01		45942.0				45942.0				D			
0001062993-24-007381	1908499	Stock Option (Right to Buy)		3.9					F5	03-DEC-2028		Common Stock, par value $.01		72017.0				72017.0				D			
0001062993-24-007381	1908498	Stock Option (Right to Buy)		12.5					F5	13-SEP-2027		Common Stock, par value $.01		355330.0				355330.0				D			
0000897069-24-000795	1928864	Stock Option		0.09					F1	15-DEC-2021		Common Stock		900000.0				900000.0				D			
0000897069-24-000795	1928862	Stock Option		0.25					F2	13-DEC-2026		Common Stock		700000.0				700000.0				D			
0000897069-24-000795	1928863	Stock Option		0.23					F2	07-FEB-2027		Common Stock		240000.0				240000.0				D			
0001679788-24-000057	1795340	Class B Common Stock			F3				F3		F3	Class A Common Stock		2719574.0				2719574.0				I		By The Armstrong 2014 Irrevocable Trust	F18
0001679788-24-000057	1795339	Class B Common Stock			F3				F3		F3	Class A Common Stock		601637.0				601637.0				I		By The Brian Armstrong Legacy Trust	F17
0001679788-24-000057	1795341	Class B Common Stock			F3				F3		F3	Class A Common Stock		7301833.0				7301833.0				I		By The Armstrong 2018 Irrevocable Trsut	F19
0001683168-24-001831	1891408	Restricted Stock Units			F6				F6		F6	Common Stock		18208.0				18208.0				D			
0001683168-24-001831	1891410	Restricted Stock Units			F8				F8		F8	Common Stock		26667.0				26667.0				D			
0001683168-24-001831	1891409	Restricted Stock Units			F7				F7		F7	Common Stock		36337.0				36337.0				D			
0001278521-24-000002	1763419	Employee Stock Option (Right to Buy)		0.39				01-FEB-2022		01-FEB-2027		Common Stock		150000.0	F5			518750.0				D			
0001278521-24-000002	1763418	Employee Stock Option (Right to Buy)		0.81				06-APR-2021		06-APR-2026		Common Stock		50000.0	F4			518750.0				D			
0001278521-24-000002	1763417	Employee Stock Option (Right to Buy)		0.39				01-FEB-2021		01-FEB-2026		Common Stock		50000.0	F3			518750.0				D			
0001278521-24-000002	1763416	Employee Stock Option (Right to Buy)		0.33				30-JUN-2020		30-JUN-2025		Common Stock		50000.0				518750.0	F2			D			
0001278521-24-000002	1763420	Employee Stock Option (Right to Buy)		0.22				21-FEB-2023		21-FEB-2028		Common Stock		50000.0	F6			518750.0				D			
0001750219-24-000013	1942572	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
