ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001062993-24-007408	2456150	Common Stock - Voting				112048.34				D			
0001062993-24-007408	2456151	Common Stock - Non Voting				207.75				D			
0001062993-24-007406	2695462	Common Stock - Voting				3438.0				D			
0001062993-24-007404	2366721	Common Stock - Voting				3616.68				D			
0001062993-24-007402	2534241	Common Stock - Non Voting				1174.0				D			
0001062993-24-007402	2534240	Common Stock - Voting				3284.0				D			
0001062993-24-007400	2394053	Common Stock - Non Voting				318.43				D			
0001062993-24-007400	2394052	Common Stock - Voting				5227.78				D			
0001062993-24-007398	2740942	Common Stock - Voting				61917.0				D			
0001062993-24-007398	2740943	Common Stock - Non Voting				406.0				D			
0001209191-24-005132	2398238	Class C Google Stock Units	F2			1760.0				D			
0001209191-24-005132	2398237	Class C Google Stock Units	F1			880.0				D			
0001209191-24-005132	2398240	Class C Google Stock Units	F4			160.0				D			
0001209191-24-005132	2398239	Class C Google Stock Units	F3			2309.0				D			
0000912282-24-000331	2537513	Common Shares				10000.0				I		Held in IRA	
0000912282-24-000331	2537514	Common Shares				42552.0				D			
0000950170-24-038455	2562455	Common Stock				354078.0	F1			D			
0000022444-24-000071	2461525	Common Stock				283785.0				I		By Limited Partnership	
0001225208-24-004627	2409676	Class A Common Stock				47129.0				D		2021 Trust	
0001225208-24-004627	2409692	Class A Common Stock				245210.0				I			
0001225208-24-004627	2409678	Class A Common Stock				9100.0				I		By Spouse	F2
0001225208-24-004627	2409679	Class A Common - Restricted Stock Units				2220.0				I		Generations Trust	F2
0001225208-24-004627	2409680	Class A Common Stock				20160.0				I		Grandchildren Multi-Trust	F2
0001225208-24-004627	2409681	Class A Common Stock				240000.0				I		JWM Family Enterprises	F2
0001225208-24-004627	2409682	Class A Common Stock				11910.0				I		JWM III Trustee 1	F2
0001225208-24-004627	2409683	Class A Common Stock				22027118.0				I		JWM III Trustee 2	F2
0001225208-24-004627	2409684	Class A Common Stock				70203.0				I		JWM III Trustee 3	F2
0001225208-24-004627	2409685	Class A Common Stock				60636.0				I		JWM Insurance Trust	F2
0001225208-24-004627	2409686	Class A Common Stock				48327.0				I		MCH Investments, LLC	F2
0001225208-24-004627	2409687	Class A Common Stock				251000.0				I		MCH Irrev. Trust	F2
0001225208-24-004627	2409688	Class A Common Stock				34920.0				I		SMH Investments, LLC	F2
0001225208-24-004627	2409689	Class A Common Stock				57420.0				I		SMH Irrev. Trust	F2
0001225208-24-004627	2409690	Class A Common Stock				90561.0				I		The Harrison Generation Trust	F2
0001225208-24-004627	2409691	Class A Common Stock				12658.0				I			
0001225208-24-004627	2409677	Class A Common Stock-Dir. Def. Stock Comp Plan-1				2435.0				D		By Spouse	F2
0000950170-24-038360	2783606	Class A Common Stock				1816.0				I			
0000950170-24-038360	2783605	Class A Common Stock				41324.0				D		See Footnote	F4
0001104659-24-040751	2579283	Common Stock, $0.01 par value per share				950000.0	F1			D			
0001104659-24-040730	2324962	Common Stock, par value $0.0001 per share				2170.0				D			
0000919574-24-002241	2582135	Common Stock, par value $0.0001 per share	F3			16600.0				D	F4		
0001628280-24-013692	2529367	Class A Common Stock				7683313.0				I		By Ares Owners Holdings L.P.	F11
0001408939-24-000002	2549128	Common Stock				908200.0				D			
0001047340-24-000082	2682187	Ordinary Shares				108.01				D			
0001493152-24-011826	2321807	Common Stock				6782.0				I		Delle Coste Family Trust	
0001493152-24-011826	2321806	Common Stock				1501880.0				I		RD Capital Holdings Pty Ltd	
0001415889-24-009387	2475639	Common Stock				196718.0				I		See footnote	F2
0001415889-24-009385	2624735	Common Stock				4039.0				I		See footnote	F2
0001225208-24-004626	2576112	Series C Liberty Live Common Stock				97007.0				I		Maven 2017 - 2 GRAT	F2
0001225208-24-004626	2576113	Series C Liberty SiriusXM Common Stock				179130.0	F1			I		Maven 2017 - 2 GRAT	F2
0001610717-24-000190	2572180	Common Stock				93158.0				I		See footnote	F2
0001596532-24-000123	2693292	Common Stock				12000.0				I			
0001596532-24-000123	2693291	Common Stock				12000.0				I		By Trust for Niece	F5
0001596532-24-000123	2693290	Common Stock				17681.0				D		By Trust for Nephew	F5
0001062993-24-007387	2494065	Common Stock				750.0				I		By Trusts	F2
0001712184-24-000130	2547296	Class C Common Shares				266574.0	F5			I		By Spouse	
0001712184-24-000130	2547295	Class C Common Shares				2011791.0	F4			I		By A Trust	
0001474506-24-000118	2629635	Common Stock, par value $0.0001 per share				78750000.0	F1			D			
0001315098-24-000067	2807234	Class A Common Stock				869250.0				I		See Footnotes	F6
0001315098-24-000067	2807235	Class A Common Stock				869250.0				I		See Footnotes	F7
0001315098-24-000067	2807236	Class A Common Stock				1319500.0				I			
0001315098-24-000067	2807233	Class A Common Stock				10814.0	F4			D		See Footnotes	F5
0001315098-24-000065	2565958	Class  A Common Stock				341131.0	F1			D			
0002016680-24-000007	2656802	Common Stock Par Value $0.10 Per Share				3610.0				D			
0001209191-24-005130	2629395	Class A Common Stock				2568.0				I		By AD Holdings, LLC	F16
0001209191-24-005130	2629394	Class A Common Stock				1147460.0	F14			I		By Trust	F15
0001683168-24-001833	2777760	Common Stock, no par value				27343.0				I		See Footnote	F4
0001225208-24-004623	2814310	Common Stock				384876.82				I		By Executive Deferred Compensation Plan	F2
0001225208-24-004622	2541755	Common Stock				17829.11				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001225208-24-004622	2541754	Common Stock				278161.11				I		By Executive Deferred Compensation Plan	F2
0001062993-24-007384	2781852	Common Stock, par value $.01				87720.0				I		Owned by Marneu Holding Company	F5
0001062993-24-007384	2781851	Common Stock, par value $.01				7598.0				I		Owned by United Equities Commodities Company	F4
0001062993-24-007384	2781850	Common Stock, par value $.01				1569870.0				I		Owned by Momar Corporation	F3
0001062993-24-007384	2781849	Common Stock, par value $.01				2522011.0				I		Owned by KF Investors LLC	F2
0001062993-24-007384	2781853	Common Stock, par value $.01				48875.0				I		Owned by 111 John Realty Corp.	F6
0001225208-24-004620	2393891	Common Stock				327.35				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0000950170-24-038253	2468141	Class A Common Stock				646713.0				I		By Foxhill Family Partnership, LP	F1
0001225208-24-004618	2409219	Common Stock				3112.85				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001225208-24-004618	2409218	Common Stock				86535.49				I		By Executive Deferred Compensation Plan	F2
0001728117-24-000041	2365262	Common Stock				45892.0				I		By family trust	
0001728117-24-000041	2365263	Common Stock				22222.0				I		By trust FBO son	
0001728117-24-000039	2681514	Common Stock				380010.0				I		By family trust	
0001225208-24-004615	2354861	Common Stock				49526.92				I		By Issuer's Investment and Tax Savings Plan (401(k) Plan)	F2
0001225208-24-004615	2354862	Common Stock				88296.1				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001225208-24-004615	2354863	Common Stock				1924.43				I		By Spouse	F2
0001225208-24-004615	2354858	Common Stock				3344093.33				I		By Executive Deferred Compensation Plan	F2
0001225208-24-004615	2354859	Common Stock				2872505.0				I		By Family Trusts	F2
0001225208-24-004615	2354860	Common Stock				578750.0				I		by GRATS	F2
0001728117-24-000037	2737533	Common Stock				5036073.0				I		By family trust	
0001679788-24-000057	2467473	Class A Common Stock				2583752.0				I		By Paradigm One LP	F16
0001679788-24-000057	2467472	Class A Common Stock				4662.0				D		By Paradigm Fund, LP	F15
0001679788-24-000057	2467474	Class A Common Stock				1931844.0				I			
0000091419-24-000018	2696815	Common Shares				4762.0				I		By 401(k)	
0001104659-24-040642	2765209	Common Stock				1200.0	F2			I		By daughter	
0001104659-24-040642	2765210	Common Stock				600.0	F2			I		By son	
0001618921-24-000036	2508992	Common Stock				0.0				D			
0001683168-24-001831	2641567	Common Stock, no par value				500000.0				I		See Footnote	F5
0001683168-24-001831	2641565	Common Stock, no par value				22216.0				I		See Footnote	F3
0001683168-24-001831	2641566	Common Stock, no par value				4636.0				I		See Footnote	F4
0001127602-24-011391	2693614	Common Stock				10000000.0				I	F12	By Marc Benioff Fund LLC	
0001385613-24-000034	2796887	ORDINARY SHARES				25000.0				I		By Isaacs Living Trust	
0001385613-24-000034	2796888	ORDINARY SHARES				25000.0				I		By Ian Isaacs IRA	
0000897069-24-000793	2504631	Class B common stock, par value $0.01 per share				57820586.0				D		By trust	F5
0000897069-24-000793	2504633	Class B common stock, par value $0.01 per share				596158.0				I			
0000897069-24-000793	2504632	Class B common stock, par value $0.01 per share				809409.0				I		See Footnote	F6
0001415889-24-009362	2684094	Common Class A - Retirement Plan				37977.0				D			
0001415889-24-009362	2684095	Common Class A				7300.0				I	F1	See Footnote	F1
0001415889-24-009362	2684096	Common Class A				650.0				I	F2	See Footnote	F2
0000950170-24-038211	2445647	Common Stock				2197.0				I		By 401(k) plan	
0000950170-24-038205	2480907	Common Stock				104571.0				D			
0000950170-24-038199	2660980	Common Stock				123754.0				I		By Trust	
0000950170-24-038194	2471227	Common Units				1477.0				D			
0001871800-24-000005	2366306	Class A Common Stock				5500.0				I		By Spouse	F4
0001127602-24-011386	2682790	Common Stock				0.0				D			
0001225208-24-004608	2635030	Common Stock, $.01 Par Value				99918.0				I		By GRAT	
0001225208-24-004608	2635031	Common Stock, $.01 Par Value				153801.0				I		By Trust	
0001225208-24-004608	2635029	Common Stock, $.01 Par Value				1734.12	F2			I		By 401(k)	
0000929638-24-001298	2756765	Common Stock				1002207.0				I		See Footnotes	F1, F3
0000921895-24-000743	2376436	Common Stock				100422.0				D			
0001453687-24-000050	2805845	Common Stock				33043849.0				I			
0001453687-24-000050	2805844	Common Stock				7471625.0				D		See Footnote	F7
0001104659-24-040609	2585839	5.25% Series E Term Preferred Stock due 2026				36294.0				I		See footnotes	F3, F2, F1
0000921895-24-000742	2745108	Common Stock				3200.0				I		By Family Trust Partnership, LLC	F3
0000921895-24-000742	2745105	Common Stock				148089.0				D		By Mitchell Quain Revoc. Liv. Trust U/A 1/25/18	F1
0000921895-24-000742	2745107	Common Stock				12300.0				I		By Industrial Manufacturing Institute, LLC	F2
0000921895-24-000742	2745109	Common Stock				300.0				I			
0000921895-24-000742	2745106	Common Stock				109047.0				I		By IRA	
0000921895-24-000741	2516589	Common Stock				144322.0				D			
0000921895-24-000740	2758784	10% Series A Cumulative Perpetual Preferred Stock				1182414.0				D			
0000921895-24-000740	2758785	Common Stock				4062485.0				D			
0000921895-24-000739	2393624	Common Stock				104320.0				D			
0000921895-24-000738	2556451	Common Stock				11603.0				D			
0001415889-24-009350	2353745	Common Stock				34557.0				I		MS Trust II	F2
0001415889-24-009350	2353746	Common Stock				34557.0				I		MS Trust III	F2
0001415889-24-009350	2353747	Common Stock				33300.0				I		MS Trust V	F2
0001415889-24-009350	2353744	Common Stock				35307.47				I		MS Trust I	F2
0001415889-24-009349	2653938	Common Stock				3829502.0				I		By Trust	
0001415889-24-009349	2653937	Common Stock				131382.0				I		By Spouse	
0001415889-24-009349	2653936	Common Stock				27000000.0				I		By FCH TBME LLC	F1
0001415889-24-009349	2653939	Common Stock				15000.0				I		By Limited Partnerships	
0001491981-24-000002	2605214	Common Stock				771.41	F2			I		By Heifer Investment Corporate Account	
0001278521-24-000002	2409893	Common Stock				16515316.0				D		Discretionary Trust	
0001278521-24-000002	2409894	Common Stock				2877465.0				I			
0001415889-24-009338	2424435	Common Stock				142.61	F1			I		By 401(k) Plan	
0001127602-24-011380	2791489	Common Stock				55000.0				I		By GRATs	
0001127602-24-011380	2791491	Common Stock				2100.0				I		By Wife	
0001127602-24-011380	2791492	Common Stock				750.0				I		By Child's Trust 1	
0001127602-24-011380	2791493	Common Stock				750.0				I		By Child's Trust 2	
0001127602-24-011380	2791494	Common Stock				750.0				I		By Child's Trust 3	
0001127602-24-011380	2791490	Common Stock				7250.0				I		By R. Brad Martin Family Foundation	
0001127602-24-011377	2519211	Common Stock				402.0	F1			I		Retirement Plan	
0001397911-24-000043	2741305	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #1	F2
0001397911-24-000043	2741306	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #2	F2
0001397911-24-000043	2741307	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #3	F2
0001397911-24-000043	2741308	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #4	F2
0001397911-24-000043	2741309	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #5	F2
0001397911-24-000043	2741310	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #6	F2
0001397911-24-000043	2741311	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #7	F2
0001397911-24-000043	2741312	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #8	F2
0001397911-24-000043	2741314	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #10	F2
