ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-22-021928	6168281	Common Stock		30-AUG-2022				4	A	0				4087.0	F2	0.0		A		38055.0				D			
0001127602-22-021928	6168280	Common Stock		30-AUG-2022				4	A	0				10796.0	F1	0.0		A		33968.0				D			
0001225208-22-009936	6168235	Common Stock, $.0001 par value		02-JUL-2021				4	P	0				8000.0	F1	4.99		A		8000.0				D			
0000891103-22-000083	6169550	Common Stock, par value $0.001		31-AUG-2022				4	M	0				40822.0			F1	A		189915.0	F2			D			
0000891103-22-000083	6169554	Common Stock, par value $0.001		31-AUG-2022				4	M	0				14617.0			F1	A		186388.0				D			
0000891103-22-000083	6169553	Common Stock, par value $0.001		31-AUG-2022				4	F	0				5485.0		56.48		D		171771.0				D			
0000891103-22-000083	6169552	Common Stock, par value $0.001		31-AUG-2022				4	M	0				9917.0			F1	A		177256.0				D			
0000891103-22-000083	6169551	Common Stock, par value $0.001		31-AUG-2022				4	F	0				22576.0		56.48		D		167339.0				D			
0000891103-22-000083	6169555	Common Stock, par value $0.001		31-AUG-2022				4	F	0				8084.0		56.48		D		178304.0				D			
0001209191-22-048367	6169543	Common Stock		31-AUG-2022				4	F	0	F1			2888.0		8.71		D		1393668.0				D			
0001062993-22-019049	6168495	COMMON STOCK		01-SEP-2022				4	A	0				228.0	F1	0.0		A		10201.0				D			
0001062993-22-019048	6168049	COMMON STOCK		01-SEP-2022				4	A	0				249.0	F1	0.0		A		27356.0				D			
0001209191-22-048366	6169454	Common Stock		31-AUG-2022				4	F	0	F1			194.0		8.71		D		73943.0				D			
0001062993-22-019047	6168040	COMMON STOCK		01-SEP-2022				4	A	0				349.0	F1	0.0		A		26083.0				D			
0001209191-22-048364	6168917	Common Stock		31-AUG-2022				4	F	0	F1			970.0		8.71		D		125654.0				D			
0001209191-22-048363	6168074	Common Stock		31-AUG-2022				4	F	0	F1			1791.0		8.71		D		328044.0				D			
0001127602-22-021927	6169387	Common Stock		30-AUG-2022				4	A	0				10796.0	F1	0.0		A		40761.0	F2			D			
0001209191-22-048362	6169240	Common Stock		31-AUG-2022				4	F	0	F1			555.0		8.71		D		86172.0				D			
0001209191-22-048356	6168842	Common Stock		01-SEP-2022				4	S	0	F1			451.0		544.67	F11	D		662212.0				D			
0001209191-22-048356	6168843	Common Stock		01-SEP-2022				4	S	0	F1			796.0		546.06	F12	D		661416.0				D			
0001209191-22-048356	6168844	Common Stock		01-SEP-2022				4	S	0	F1			100.0		546.89		D		661316.0				D			
0001209191-22-048356	6168845	Common Stock		01-SEP-2022				4	S	0	F1			504.0		548.47	F13	D		660812.0				D			
0001209191-22-048356	6168846	Common Stock		01-SEP-2022				4	S	0	F1			600.0		550.08	F14	D		660212.0				D			
0001209191-22-048356	6168847	Common Stock		01-SEP-2022				4	S	0	F1			398.0		551.68	F15	D		659814.0				D			
0001209191-22-048356	6168848	Common Stock		01-SEP-2022				4	S	0	F1			2.0		552.38		D		659812.0				D			
0001209191-22-048356	6168833	Common Stock		01-SEP-2022				4	S	0	F1			580.0		535.67	F2	D		671232.0				D			
0001209191-22-048356	6168834	Common Stock		01-SEP-2022				4	S	0	F1			720.0		536.48	F3	D		670512.0				D			
0001209191-22-048356	6168835	Common Stock		01-SEP-2022				4	S	0	F1			899.0		537.67	F4	D		669613.0				D			
0001209191-22-048356	6168836	Common Stock		01-SEP-2022				4	S	0	F1			1796.0		538.57	F5	D		667817.0				D			
0001209191-22-048356	6168837	Common Stock		01-SEP-2022				4	S	0	F1			814.0		539.8	F6	D		667003.0				D			
0001209191-22-048356	6168838	Common Stock		01-SEP-2022				4	S	0	F1			900.0		540.95	F7	D		666103.0				D			
0001209191-22-048356	6168839	Common Stock		01-SEP-2022				4	S	0	F1			1298.0		541.99	F8	D		664805.0				D			
0001209191-22-048356	6168840	Common Stock		01-SEP-2022				4	S	0	F1			1112.0		542.86	F9	D		663693.0				D			
0001209191-22-048356	6168841	Common Stock		01-SEP-2022				4	S	0	F1			1030.0		544.1	F10	D		662663.0				D			
0000895345-22-000670	6169322	Common Stock		31-AUG-2022				4	P	0				25000.0	F1	19.89	F2	A		67800.0				D			
0001104659-22-097114	6169115	Ordinary Shares		31-AUG-2022				4	F	0				107.0	F1	0.16		D		312202.0				D			
0000895345-22-000669	6168544	Common Stock		31-AUG-2022				4	P	0				25000.0	F1	19.94	F2	A		175000.0				D			
0001127602-22-021926	6169097	Common Stock		01-SEP-2022				4	M	0	F1			10000.0		10.68		A		25000.0				D			
0001127602-22-021926	6169096	Common Stock		01-SEP-2022				4	M	0	F1			5000.0		9.45		A		15000.0				D			
0001127602-22-021926	6169098	Common Stock		01-SEP-2022				4	S	0	F1			15000.0		52.79		D		10000.0				D			
0000950103-22-015148	6167890	Common Stock		30-AUG-2022				4	S	0				4148.0		29.73		D		23798.0				D			
0000950103-22-015147	6169175	Class A Common Stock		30-AUG-2022				4	P	0	F2, F1			3275182.0		0.0	F2, F1	A		22669206.0				D	F2, F1		
0001104659-22-097113	6167956	Ordinary Shares		31-AUG-2022				4	F	0				61.0	F1	0.16		D		361400.0				D			
0001493152-22-024884	6169039	Ordinary Shares		31-AUG-2022				4	F	0	F2			14877.0		2.65		D		34643.0				D			
0001493152-22-024884	6169038	Ordinary Shares		31-AUG-2022				4	M	0				43020.0			F1	A		49520.0				D			
0001127602-22-021924	6167835	Common Stock		30-AUG-2022				4	A	0				5680.0	F1	0.0		A		21661.0	F2			D			
0001493152-22-024882	6168178	Ordinary Shares		31-AUG-2022				4	F	0	F2			14375.0		2.65		D		27595.0				D			
0001493152-22-024882	6168177	Ordinary Shares		31-AUG-2022				4	M	0				41970.0			F1	A		41970.0				D			
0001062993-22-019046	6168901	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		12821.0				D			
0001062993-22-019043	6169211	Common Stock		30-AUG-2022				4	F	0				66.9		262.97		D		9124.9				D			
0001062993-22-019043	6169210	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		9191.8				D			
0001127602-22-021923	6169549	Common Stock		30-AUG-2022				4	A	0				3976.0	F1	0.0		A		13681.0	F2			D			
0001493152-22-024880	6169558	Ordinary Shares		31-AUG-2022				4	F	0	F2			21769.0		2.65		D		1740713.0				D			
