ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001829126-22-007883	2271256	Rights to receive ordinary shares		0.0	F5	05-APR-2022				4	P	0				330000.0					F2	A			F5		F6	Ordinary Shares		33000.0				33000.0				I		See footnote	F1
0001829126-22-007883	2271255	Warrants to purchase ordinary shares		11.5		05-APR-2022				4	P	0				330000.0					F2	A			F3		F4	Ordinary Shares		330000.0				330000.0				I		See footnote	F1
0000899243-22-014213	2271324	Restricted stock units			F1	05-APR-2022				4	M	0				3224.0				0.0		A			F3		F3	Common stock		3224.0				3224.0				D			
0000899243-22-014213	2271323	Restricted stock units			F1	05-APR-2022				4	A	0				1705.0				0.0		A			F2		F2	Common stock		1705.0				1705.0				D			
0001667731-22-000152	2271274	Restricted Share Unit			F1	31-MAR-2022				4	A	0				26.0				0.0	F2	A			F1		F1	Common Stock		26.0				7124.0				D			
0001127602-22-011698	2271357	Phantom Stock			F1	06-APR-2022				4	A	0				144.94	F1			77.45		A			F1		F1	Common Stock		144.94				5037.72				D			
0001127602-22-011697	2271226	Phantom Stock			F2	06-APR-2022				4	A	0				338.17	F2			77.45		A			F2		F2	Common Stock		338.17				17125.94				D			
0001127602-22-011696	2271366	Phantom Stock			F1	06-APR-2022				4	A	0				57.14	F2			77.45		A			F1		F1	Common Stock		57.14				20334.69				D			
0001127602-22-011696	2271365	Phantom Stock			F1	06-APR-2022				4	A	0				164.95	F2			77.45		A			F1		F1	Common Stock		164.95				20277.55				D			
0001500897-22-000001	2271270	Option (Right to Buy)		71.51		06-APR-2022				4	A	0				19000.0				0.0		A			F7	06-APR-2032		Common Stock, $1 par value		19000.0				19000.0				D			
0001493152-22-009332	2271242	Restricted Stock Units		1.76		01-DEC-2021				4	A	0				25000.0				0.0		A		15-JAN-2023		15-JAN-2023		Common Stock		25000.0				25000.0				D			
0001493152-22-009330	2271387	Common Stock Options		7.0		30-MAR-2022				4	A	0				100000.0				7.0		A		30-MAR-2022		30-MAR-2032		Common stock		100000.0				100000.0				D			
0001493152-22-009328	2271384	Common Stock Options		7.0		30-MAR-2022				4	A	0				100000.0				7.0		A		30-MAR-2022		30-MAR-2032		Common stock		100000.0				100000.0				D			
0001567619-22-008228	2271337	Restricted Stock Units			F1	05-APR-2022				4	M	0				5678.0				0.0		D			F2		F2	Class A Non-Voting Common Stock		5678.0				17032.0				D			
0001567619-22-008227	2271231	Restricted Stock Units			F1	05-APR-2022				4	M	0				5678.0				0.0		D			F2		F2	Class A Non-Voting Common Stock		5678.0				17032.0				D			
0001567619-22-008226	2271288	Restricted Stock Units			F1	05-APR-2022				4	M	0				5678.0				0.0		D			F2		F2	Class A Non-Voting Common Stock		5678.0				17032.0				D			
0001567619-22-008225	2271336	Restricted Stock Units			F1	05-APR-2022				4	M	0				2508.0				0.0		D			F2		F2	Class A Non-Voting Common Stock		2508.0				7524.0				D			
0001567619-22-008224	2271346	Restricted Stock Units			F1	05-APR-2022				4	M	0				3640.0				0.0		D			F2		F2	Class A Non-Voting Common Stock		3640.0				10918.0				D			
0001814431-22-000001	2271350	Option (Right to Buy)		71.51		06-APR-2022				4	A	0				32100.0				0.0		D			F9	06-APR-2032		Common Stock, $1 par value		32100.0				32100.0				D			
0000897101-22-000385	2271215	Non-Qualified Stock Option (right to buy)		48.33		05-APR-2022				4	M	0				27157.0				0.0		D		25-JUN-2017		25-JUL-2023		Common Stock		27157.0				0.0				I		by Spouse	
0001585364-22-000034	2271373	Restricted Stock Units			F2	05-APR-2022				4	M	0	F1			3963.0					F2	D			F3		F3	Ordinary Shares		3963.0				0.0				D			
0001104659-22-043369	2271302	Warrants to Purchase Shares of Common Stock	F2	1.25		04-APR-2022				4	A	0				7058821.0				0.0		A		04-APR-2022	F2	04-APR-2027	F2	Common Stock		7058821.0				7058821.0				I		See Footnote	F4
0001104659-22-043354	2271229	Special Limited Partnership Units		0.0	F5	15-MAR-2022				4	A	0	F6			38853.0				0.0	F6	A			F5		F7	Common Stock		38853.0	F8, F5			38853.0				I		Texas Yarrow LLC - 2022 PS	
0001104659-22-043354	2271228	Class 2 LTIP Units		45.0		15-MAR-2022				4	A	0	F4, F3			48170.0				0.0	F4, F3	A		15-MAR-2025		15-MAR-2032		Common Stock		48170.0				48170.0				I		Texas Yarrow LLC - 2022 PS	
0001209191-22-023561	2271217	Stock Option (Right to Buy)		15.08		05-APR-2022				4	A	0				100000.0				0.0		A			F2	04-APR-2032		Common Stock		100000.0				100000.0				D			
0000899243-22-014171	2271267	Class B Common Stock			F1	05-APR-2022				4	C	0				52384.0				0.0		D			F1		F1	Class A Common Stock		52384.0				17544811.0	F25			I		See footnote	F2
0000899243-22-014171	2271268	Class B Common Stock			F1	06-APR-2022				4	C	0				52384.0				0.0		D			F1		F1	Class A Common Stock		52384.0				17492427.0	F25			I		See footnote	F2
0000899243-22-014171	2271266	Class B Common Stock			F1	04-APR-2022				4	C	0				52384.0				0.0		D			F1		F1	Class A Common Stock		52384.0				17597195.0	F25			I		See footnote	F2
0000899243-22-014169	2271287	Option (Right to Buy)		8.22		04-APR-2022				4	A	0				26880.0				0.0		A			F1	04-APR-2032		Common Stock		26880.0				26880.0				D			
0001656472-22-000069	2271389	COMMON SHARE OPTION (right to buy)		2.51	F2	04-APR-2022				4	M	0	F1			20000.0				0.0		D			F5	12-APR-2022		COMMON SHARES		20000.0				0.0				D			
