ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-094041	1851408	Performance Units			F5				F5	28-FEB-2033		Common Stock		9141.0				9141.0				D			
0000950170-24-094041	1851407	Performance Units			F4				F4	28-FEB-2033		Common Stock		4113.0				4113.0				D			
0000950170-24-094041	1851406	Options (Right to Purchase)		65.26					F3	08-MAY-2030		Common Stock		14299.0				14299.0				D			
0000950170-24-094041	1851405	Options (Right to Purchase)		49.93					F3	20-MAR-2029		Common Stock		28626.0				28626.0				D			
0000950170-24-094041	1851404	Options (Right to Purchase)		22.0					F3	25-APR-2028		Common Stock		33424.0				33424.0				D			
0000950170-24-094041	1851409	Performance Units			F6				F6	24-FEB-2032		Common Stock		3920.0				3920.0				D			
0000950170-24-094001	1881400	Conditional Share Award	F1		F1				F2		F2	Common Stock		362.0								D		By spouse	
0000950170-24-094001	1881404	Conditional Share Award	F1		F1				F3		F3	Common Stock		70.0								I			
0000950170-24-094001	1881403	Conditional Share Award	F1		F1				F2		F2	Common Stock		51.0								I			
0000950170-24-094001	1881402	Conditional Share Award	F1		F1				F4		F4	Common Stock		377.0								D		By spouse	
0000950170-24-094001	1881405	Conditional Share Award	F1		F1				F4		F4	Common Stock		48.0								I			
0000950170-24-094001	1881401	Conditional Share Award	F1		F1				F3		F3	Common Stock		493.0								D		By spouse	
0001617242-24-000065	1934285	Stock Options		13.55				15-SEP-2019		15-SEP-2028		Common Stock		100000.0				100000.0				D			
0001617242-24-000061	1729386	Stock Options		13.38				07-JAN-2020		07-JAN-2029		Common Stock		50000.0				50000.0				D			
0001617242-24-000061	1729385	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		100000.0				100000.0				D			
0001617242-24-000059	1799405	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		150000.0				150000.0				D			
0001617242-24-000057	1785980	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		540000.0				540000.0				D			
0001617242-24-000055	1840945	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		100000.0				100000.0				D			
0001617242-24-000053	1759685	Stock Options		9.82				01-APR-2016		01-APR-2025		Common Stock		6902.0				6902.0				D			
0001617242-24-000053	1759684	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		75000.0				75000.0				D			
0001617242-24-000053	1759683	Stock Options		13.38				07-JAN-2020		07-JAN-2029		Common Stock		75000.0				75000.0				D			
0001617242-24-000051	1901182	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		40000.0				40000.0				D			
0001617242-24-000049	1745568	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		75000.0				75000.0				D			
0002032322-24-000002	1726145	Non-Qualified Stock Option (right to buy)		306.82					F1	01-AUG-2034		Common Stock		3500.0								D			
0000824142-24-000191	1796630	Stock Option (Right to Buy)		29.48				12-MAY-2022		11-MAR-2030		Common Stock		118320.0				118320.0				D			
0000824142-24-000191	1796629	Stock Option (Right to Buy)		48.91				12-MAY-2022		11-MAR-2031		Common Stock		16429.0				16429.0				D			
0000824142-24-000191	1796628	Stock Option (Right to Buy)		27.58				12-MAY-2022		11-MAR-2029		Common Stock		285000.0				285000.0				D			
0000824142-24-000191	1796627	Stock Option (Right to Buy)		24.63				12-MAY-2022		02-JAN-2028		Common Stock		173550.0				173550.0				D			
0000824142-24-000191	1796626	Stock Option (Right to Buy)		22.93				12-MAY-2022		22-FEB-2027		Common Stock		53805.0				53805.0				D			
0000824142-24-000191	1796625	Stock Option (Right to Buy)		13.95				12-MAY-2022		26-JAN-2026		Common Stock		52485.0				52485.0				D			
0000824142-24-000191	1796624	Stock Option (Right to Buy)		15.71				12-MAY-2022		26-FEB-2025		Common Stock		57480.0				57480.0				D			
0000824142-24-000189	1730140	Stock Option (Right to Buy)		31.69				12-MAY-2021		12-MAY-2030		Common Stock		58950.0				58950.0				D			
0000824142-24-000189	1730141	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		47191.0				47191.0				D			
0000824142-24-000189	1730142	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		42843.0				42843.0				D			
0000824142-24-000189	1730143	Stock Option (Right to Buy)		62.03				06-MAR-2024		06-MAR-2033		Common Stock		31968.0				31968.0				D			
0000824142-24-000189	1730144	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		22338.0				22338.0				D			
0001727689-24-000092	1934791	20% Convertible Debentures Due 2025		0.06				16-FEB-2024		16-FEB-2025		Common Shares		833333.0				9821428.0		50000.0		D	F1		
0001727689-24-000092	1934792	Warrrants		0.06				08-MAR-2024		08-MAR-2029		Common Shares		9821428.0				833333.0				D	F1		
0001727689-24-000092	1934793	Warrants		0.06				16-FEB-2024		16-FEB-2025		Common Shares		833333.0				14133684.0				D	F1		
0001727689-24-000092	1934794	Warrants		0.07				02-MAR-2023		02-NOV-2024		Common Shares		14133684.0				4645000.0				D	F1		
0001727689-24-000092	1934795	Options		0.05				01-MAR-2024		01-MAR-2029		Common Shares		4645000.0				1000000.0				D	F1		
0001727689-24-000092	1934796	Options		0.06				21-JUL-2023		21-JUL-2028		Common Shares		1000000.0				4600000.0				D	F1		
0001727689-24-000092	1934797	Options		0.06				21-JUL-2023		21-JUL-2028		Common Shares		4600000.0								D	F1		
0001592386-24-000085	1887707	Restricted Stock Unit			F1				F2		F2	Class A common stock		6681.0				6681.0				D			
0000950103-24-011890	1839712	Class B Common Stock	F20		F20				F20		F20	Class A Common Stock		12000000.0				12000000.0				I		By CZI Holdings I, LLC	F24
0000950103-24-011890	1839711	Class B Common Stock	F20		F20				F20		F20	Class A Common Stock		34344500.0				34344500.0				I		By Chan Zuckerberg Holdings, LLC	F23
0000950103-24-011890	1839710	Class B Common Stock	F20		F20				F20		F20	Class A Common Stock		3388197.0				3388197.0				I		By Mark Zuckerberg, Trustee Of The Mark Zuckerberg Trust Dated July 7, 2006	F22
0000950103-24-011890	1839709	Class B Common Stock	F20		F20				F20		F20	Class A Common Stock		244182799.0				244182799.0				I		By CZI Holdings, LLC	F21
0000950103-24-011890	1839713	Class B Common Stock	F20		F20				F20		F20	Class A Common Stock		50000000.0				50000000.0				I		By Chan Zuckerberg Holdings II, LLC	F25
0000950103-24-011889	1824050	Class B Common Stock	F11		F11				F11		F11	Class A Common Stock		50000000.0				50000000.0				I		By Chan Zuckerberg Holdings II, LLC	F16
0000950103-24-011889	1824048	Class B Common Stock	F11		F11				F11		F11	Class A Common Stock		34344500.0				34344500.0				I		By Chan Zuckerberg Holdings, LLC	F14
0000950103-24-011889	1824047	Class B Common Stock	F11		F11				F11		F11	Class A Common Stock		3388197.0				3388197.0				I		By Mark Zuckerberg, Trustee Of The Mark Zuckerberg Trust Dated July 7, 2006	F13
0000950103-24-011889	1824046	Class B Common Stock	F11		F11				F11		F11	Class A Common Stock		244182799.0				244182799.0				I		By CZI Holdings, LLC	F12
0000950103-24-011889	1824049	Class B Common Stock	F11		F11				F11		F11	Class A Common Stock		12000000.0				12000000.0				I		By CZI Holdings I, LLC	F15
0000950170-24-093124	1877087	Class A Units			F12				F12		F12	Class A Common Stock		10000000.0				10000000.0				I			
0000950170-24-093124	1877086	Class A Units			F11				F11		F11	Class A Common Stock		14940000.0				14940000.0				I		ECG II SPE, LLC	
0000950170-24-093124	1877085	Class A Units			F10				F10		F10	Class A Common Stock		14792526.0				14792526.0				I		Ernest C. Garcia III Multi-Generational Trust III	
0000950170-24-093124	1877084	Class A Units			F9				F9		F9	Class A Common Stock		51802896.0				51802896.0				D		Ernest Irrevocable 2004 Trust III	
0000950170-24-093122	1707817	Class A Units			F10				F10		F10	Class A Common Stock		51802896.0				51802896.0				D		Ernest Irrevocable 2004 Trust III	
0000950170-24-093122	1707818	Class A Units			F11				F11		F11	Class A Common Stock		14792526.0				14792526.0				I		Ernest C. Garcia III Multi-Generational Trust III	
0000950170-24-093122	1707819	Class A Units			F12				F12		F12	Class A Common Stock		14940000.0				14940000.0				I		ECG II SPE, LLC	
0000950170-24-093122	1707820	Class A Units			F13				F13		F13	Class A Common Stock		10000000.0				10000000.0				I			
0001415889-24-020938	1871938	Performance Restricted Stock Units			F4				F6		F6	Class A Common Stock		698.0				698.0				D			
