ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-057310	1822744	Series A Convertible Preferred Stock			F2				F2		F2	Common Stock		150000.0	F2							I		See footnotes	F4, F3
0000950170-24-057310	1822745	Warrant (right to buy)		4.5				30-APR-2024		30-APR-2026		Common Stock		11111112.0								I		See footnotes	F4, F3
0001628280-24-022362	1949718	Directors Deferred Compensation Stock Units			F1				F3		F3	Common Stock		7367.72	F5			7367.72	F5			D			
0001628280-24-022357	1950329	Directors Deferred Compensation Stock Units			F1				F3		F3	Common Stock		2161.15	F5			2161.15	F5			D			
0001104659-24-059463	1934005	Restricted Stock Units		0.0					F3		F3	Common Stock		28.0								D			
0001104659-24-059463	1934004	Stock Options		199.2					F2	09-NOV-2027		Common Stock		115.0								D			
0001628280-24-022340	1949754	Directors Deferred Restricted Common Stock Units			F2				F3		F3	Common Stock		1819.76	F5			1819.76	F5			D			
0001628280-24-022340	1949753	Directors Deferred Compensation Stock Units			F2				F3		F3	Common Stock		1772.02	F4			1772.02	F4			D			
0001628280-24-022327	1719731	Directors Deferred Compensation Stock Units			F1				F3		F3	Common Stock		31932.68	F5			31932.68	F5			D			
0000106640-24-000107	1805308	Restricted Stock Units			F4				F4		F4	Common Stock		140.0								D			
0000106640-24-000107	1805309	Restricted Stock Units			F5				F5		F5	Common Stock		1500.0								D			
0000106640-24-000107	1805306	Restricted Stock Units			F2				F2		F2	Common Stock		1000.0								D		Executive Deferred Savings Plan II	
0000106640-24-000107	1805310	Restricted Stock Units			F6				F6		F6	Common Stock		199.0								D			
0000106640-24-000107	1805307	Restricted Stock Units			F3				F3		F3	Common Stock		3750.0								D			
0000106640-24-000107	1805313	Deferred Stock		0.0					F9		F9	Common Stock		418.11								I			
0000106640-24-000107	1805312	Restricted Stock Units			F8				F8		F8	Common Stock		855.0								D			
0000106640-24-000107	1805311	Restricted Stock Units			F7				F7		F7	Common Stock		199.0								D			
0001437749-24-015721	1969168	Conditional Stock Award		27.4					F1	10-MAR-2026		Common Stock		1321.0				1321.0				D			
0001628280-24-022300	1735789	Directors Deferred Restricted Common Stock Units			F2				F3		F3	Common Stock		7808.93	F5			7808.93	F5			D			
0001628280-24-022300	1735788	Directors Deferred Compensation Stock Units			F2				F3		F3	Common Stock		2353.02	F4			2353.02	F4			D			
0000907254-24-000043	1956900	Employee Stock Option		47.9				13-MAY-2022	F2	13-MAY-2032		Common Stock		15000.0				15000.0				D			
0000907254-24-000043	1956899	Employee Stock Option		43.89				07-MAY-2021	F2	07-MAY-2031		Common Stock		10000.0				10000.0				D			
0000907254-24-000043	1956901	Employee Stock Option		33.79				12-MAY-2023	F2	12-MAY-2033		Common Stock		15000.0				15000.0				D			
0001062993-24-009763	1745683	Option to Buy Common Stock		49.61				02-JAN-2018		02-JAN-2028		Common Stock		16733.0				16733.0				D			
0001062993-24-009763	1745684	Option to Buy Common Stock		55.68				03-JAN-2017		03-JAN-2027		Common Stock		14197.0				14197.0				D			
0001062993-24-009762	1875674	Option to Buy Common Stock		23.57				15-JAN-2020		15-JAN-2030		Common Stock		54348.0				54348.0				D			
0001062993-24-009758	1863098	Option to Buy Common Stock		55.68				03-JAN-2017		03-JAN-2027		Common Stock		3722.0				3722.0				D			
0001062993-24-009758	1863097	Option to Buy Common Stock		49.61				02-JAN-2018		02-JAN-2028		Common Stock		12090.0				12090.0				D			
0001062993-24-009758	1863099	Option to Buy Common Stock		34.48				04-JAN-2016		04-JAN-2026		Common Stock		3882.0				3882.0				D			
0001062993-24-009757	1819251	Option to Buy Common Stock		43.38				06-DEC-2017		06-DEC-2027		Common Stock		5800.0				5800.0				D			
0001062993-24-009757	1819252	Option to Buy Common Stock		53.54				07-DEC-2016		07-DEC-2026		Common Stock		5100.0				5100.0				D			
0001381668-24-000080	1975576	Restricted Stock Units			F2				F3		F3	Common Stock		15000.0				15000.0				D			
0001381668-24-000080	1975577	Employee Stock Option (right to buy)		18.24					F4	10-DEC-2024		Common Stock		800.0				800.0				D			
0001381668-24-000080	1975578	Employee Stock Option (right to buy)		14.74					F5	05-JAN-2028		Common Stock		1800.0				1800.0				D			
0001381668-24-000080	1975579	Employee Stock Option (right to buy)		15.08					F6	10-DEC-2024		Common Stock		1500.0				1500.0				D			
0001331520-24-000128	1860159	Stock Option		21.25					F6	20-APR-2026		Common Stock		20000.0				20000.0				D			
0001331520-24-000128	1860158	Performance Stock Option		23.32					F5	19-JUL-2028		Common Stock		60000.0				60000.0				D			
0001127602-24-014740	1792866	Hypothetical Shares			F4				F5		F5	Common Stock, $.25 Par Value		9690.0				9690.0	F6			I		By Supplemental 401(k) Plan	
0001225208-24-005878	1981491	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		7918.0				7918.0				D			
0001225208-24-005878	1981490	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		7302.0				7302.0				D			
0001225208-24-005878	1981494	Stock Units (LTIP)			F2				F2		F2	Common Stock		2856.0				2856.0				D			
0001225208-24-005878	1981493	Stock Units (DCP)			F1				F1		F1	Common Stock		13053.22				13053.22				D			
0001225208-24-005878	1981492	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		6108.0				6108.0				D			
0001225208-24-005877	1710240	Stock Units (LTIP)			F2				F2		F2	Common Stock		75982.0				75982.0				D			
0001225208-24-005877	1710237	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		136440.0				136440.0				D			
0001225208-24-005877	1710239	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		104244.0				104244.0				D			
0001225208-24-005877	1710238	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		141038.0				141038.0				D			
0000950170-24-056264	1747416	Employee Stock Option (right to buy)		5.98				10-AUG-2024		10-AUG-2032		Common Stock		5000.0								D			
0000950170-24-056264	1747414	Employee Stock Option (right to buy)		6.0					F2	06-JUL-2033		Common Stock		25000.0								D			
0000950170-24-056264	1747415	Employee Stock Option (right to buy)		5.98				10-AUG-2023		10-AUG-2032		Common Stock		5000.0								D			
0000950170-24-056264	1747417	Employee Stock Option (right to buy)		5.98				10-AUG-2025		10-AUG-2032		Common Stock		5000.0								D			
0000950170-24-056231	1760517	Employee Stock Option (right to buy)		15.69					F2	14-MAY-2031		Common Stock		45000.0								D			
0000950170-24-056231	1760516	Employee Stock Option (right to buy)		6.0				07-AUG-2023		06-JUL-2033		Common Stock		20139.0								D			
0001493152-24-018299	1833469	Convertible Note		1.45				30-APR-2024			F1	Common Stock		138217.0								D			
0001493152-24-018299	1833470	Warrant		1.32				30-APR-2024		30-APR-2026		Common Stock		138217.0								D			
0001493152-24-018297	1822813	Warrant		1.32				30-APR-2024		30-APR-2026		Common Stock		82930.0								I		See Footnotes	F3
0001493152-24-018297	1822812	Convertible Note		1.45				30-APR-2024			F1	Common Stock		82930.0								I		See Footnotes	F2
0001104659-24-058974	1849830	Class B ordinary shares			F1				F1		F1	Class A ordinary shares		6175000.0								D	F2		
0001104659-24-058971	1791150	Class B ordinary shares			F1				F1		F1	Class A ordinary shares		25000.0								D			
0000950170-24-056151	1794303	Blue Owl Operating Group Units	F3, F1, F2		F3, F2				F3, F2		F3, F2	Class A Shares		675000.0				675000.0				I		By LLC/Trust	F3, F4, F5, F2
0001104659-24-058970	1969543	Class B ordinary shares			F1				F1		F1	Class A ordinary shares		25000.0								D			
0001104659-24-058968	1740389	Class B ordinary shares			F1				F1		F1	Class A ordinary shares		25000.0								D			
0001618756-24-000087	1776176	Option (Right to Buy)		56.92					F5	04-MAY-2027		Common Shares		200000.0				200000.0				D			
0001618756-24-000087	1776175	Exchangeable Units	F4		F4				F4		F4	Common Shares		5413.0				5413.0				D			
0001618756-24-000087	1776185	Performance Share Units			F15			15-MAR-2027		15-MAR-2027		Common Shares		120297.97				120297.97				D			
0001618756-24-000087	1776184	Restricted Share Units			F6				F14		F14	Common Shares		30892.89				30892.89				D			
0001618756-24-000087	1776183	Performance Share Units			F13			28-MAY-2028		28-MAY-2028		Common Shares		311837.33				311837.33				D			
0001618756-24-000087	1776182	Restricted Share Units			F6				F12		F12	Common Shares		20203.94				20203.94				D			
0001618756-24-000087	1776181	Performance Share Units			F11			25-FEB-2025		25-FEB-2025		Common Shares		133188.09				133188.09				D			
0001618756-24-000087	1776180	Restricted Share Units			F6				F10		F10	Common Shares		16514.59				16514.59				D			
