holding_months,rebalance_date,ticker,trade_size,signal_prob_up,signal_median_return,buy_date,buy_price,sell_target,sell_date,sell_price,shares,invested,value,pnl,return_pct,open,spy_buy_price,spy_sell_price,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
1,2026-01-15,PRU,15000000.0,0.736,0.017773383395647713,2026-01-15,113.3272,2026-02-15,2026-02-17,101.8814,0.8824,100.0,89.9002,-10.0998,-0.100998,False,690.3546,680.9902,98.6435,-1.3565,-0.013565,-0.087433,False
1,2026-01-15,ACN,8000.0,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-15,2026-02-17,218.0409,0.350447,100.0,76.4117,-23.5883,-0.235883,False,690.3546,680.9902,98.6435,-1.3565,-0.013565,-0.222318,False
1,2026-02-01,GOOGL,750000.0,0.698,0.023655764099067778,2026-02-02,343.2432,2026-03-01,2026-03-02,306.1215,0.291339,100.0,89.185,-10.815,-0.10815,False,693.516,684.5106,98.7015,-1.2985,-0.012985,-0.095165,False
1,2026-02-01,T,32500.0,0.611,0.009840774341263403,2026-02-02,26.0276,2026-03-01,2026-03-02,27.7199,3.842077,100.0,106.5019,6.5019,0.065019,False,693.516,684.5106,98.7015,-1.2985,-0.012985,0.078004,True
1,2026-02-15,IFF,175000.0,0.719,0.028192771912982417,2026-02-17,82.2542,2026-03-15,2026-03-16,69.6785,1.215743,100.0,84.7111,-15.2889,-0.152889,False,680.9902,667.2079,97.9761,-2.0239,-0.020239,-0.13265,False
1,2026-02-15,ETN,75000.0,0.619,0.01644034161070862,2026-02-17,389.1975,2026-03-15,2026-03-16,360.045,0.256939,100.0,92.5096,-7.4904,-0.074904,False,680.9902,667.2079,97.9761,-2.0239,-0.020239,-0.054666,False
1,2026-03-01,MU,175000.0,0.703,0.06241040664267716,2026-03-02,412.4967,2026-04-01,2026-04-01,367.85,0.242426,100.0,89.1765,-10.8235,-0.108235,False,684.5106,655.24,95.7239,-4.2761,-0.042761,-0.065474,False
1,2026-03-01,LRCX,32500.0,0.682,0.04527807643948378,2026-03-02,230.7236,2026-04-01,2026-04-01,222.01,0.433419,100.0,96.2234,-3.7766,-0.037766,False,684.5106,655.24,95.7239,-4.2761,-0.042761,0.004995,True
1,2026-03-15,BK,75000.0,0.526,0.002373706105123885,2026-03-16,114.9238,2026-04-15,2026-04-15,131.4383,0.870142,100.0,114.3699,14.3699,0.143699,False,667.2079,699.94,104.9058,4.9058,0.049058,0.094641,True
1,2026-04-01,PFE,32500.0,0.655,0.015892193759035944,2026-04-01,28.0864,2026-05-01,2026-05-01,25.9024,3.560444,100.0,92.2242,-7.7758,-0.077758,False,655.24,720.65,109.9826,9.9826,0.099826,-0.177584,False
1,2026-05-01,GLW,32500.0,0.617,0.036218625793188464,2026-05-01,158.0178,2026-06-01,2026-06-01,176.7,0.63284,100.0,111.8228,11.8228,0.118228,False,720.65,758.54,105.2577,5.2577,0.052577,0.065651,True
1,2026-05-01,C,32500.0,0.576,0.010850752182865353,2026-05-01,126.84,2026-06-01,2026-06-01,129.09,0.788395,100.0,101.7739,1.7739,0.017739,False,720.65,758.54,105.2577,5.2577,0.052577,-0.034839,False
1,2026-05-15,AMD,32500.0,0.763,0.08809886640354714,2026-05-15,424.1,2026-06-15,2026-06-12,511.57,0.235793,100.0,120.6249,20.6249,0.206249,True,739.17,741.75,100.349,0.349,0.00349,0.202758,True
1,2026-05-15,KEYS,32500.0,0.666,0.04102265868910093,2026-05-15,349.01,2026-06-15,2026-06-12,350.67,0.286525,100.0,100.4756,0.4756,0.004756,True,739.17,741.75,100.349,0.349,0.00349,0.001266,True
1,2026-06-01,TXN,8000.0,0.716,0.049561145078502955,2026-06-01,293.2,2026-07-01,2026-06-12,301.12,0.341064,100.0,102.7012,2.7012,0.027012,True,758.54,741.75,97.7865,-2.2135,-0.022135,0.049147,True
1,2026-06-01,AAPL,8000.0,0.717,0.021055134333178405,2026-06-01,306.31,2026-07-01,2026-06-12,291.13,0.326467,100.0,95.0442,-4.9558,-0.049558,True,758.54,741.75,97.7865,-2.2135,-0.022135,-0.027423,False
2,2025-10-01,GOOGL,175000.0,0.815,0.03962101200951773,2025-10-01,244.4218,2025-12-01,2025-12-01,314.2751,0.409129,100.0,128.579,28.579,0.28579,False,664.6655,676.4185,101.7683,1.7683,0.017683,0.268108,True
2,2025-10-01,AAPL,175000.0,0.705,0.023013443195879946,2025-10-01,254.7294,2025-12-01,2025-12-01,282.575,0.392574,100.0,110.9315,10.9315,0.109315,False,664.6655,676.4185,101.7683,1.7683,0.017683,0.091632,True
2,2025-10-15,GOOGL,175000.0,0.764,0.033457967867530636,2025-10-15,250.5398,2025-12-15,2025-12-15,307.8193,0.399138,100.0,122.8624,22.8624,0.228624,False,661.404,676.8759,102.3392,2.3392,0.023392,0.205232,True
2,2025-10-15,AAPL,175000.0,0.662,0.01831919421285555,2025-10-15,248.6366,2025-12-15,2025-12-15,273.6017,0.402193,100.0,110.0408,10.0408,0.100408,False,661.404,676.8759,102.3392,2.3392,0.023392,0.077015,True
2,2025-11-01,STX,32500.0,0.731,0.06257411444673466,2025-11-03,264.3939,2026-01-01,2026-01-02,287.0393,0.378224,100.0,108.565,8.565,0.08565,False,679.4711,681.3093,100.2705,0.2705,0.002705,0.082945,True
2,2025-11-01,GOOGL,32500.0,0.797,0.040357915046904225,2025-11-03,283.166,2026-01-01,2026-01-02,314.7403,0.35315,100.0,111.1505,11.1505,0.111505,False,679.4711,681.3093,100.2705,0.2705,0.002705,0.108799,True
2,2025-11-15,GOOGL,175000.0,0.752,0.03530523231062932,2025-11-17,284.4634,2026-01-15,2026-01-15,332.3474,0.351539,100.0,116.8331,16.8331,0.168331,False,661.9011,690.3546,104.2988,4.2988,0.042988,0.125343,True
2,2025-11-15,AAPL,375000.0,0.708,0.02166581366267195,2025-11-17,266.964,2026-01-15,2026-01-15,257.7311,0.374582,100.0,96.5415,-3.4585,-0.034585,False,661.9011,690.3546,104.2988,4.2988,0.042988,-0.077572,False
