rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
atr_k4,2025-12-01,CLS,0.588,0.0265020626649084,2025-12-01,318.37,2026-01-08,288.6,atr_trail,38,100.0,90.6492,-9.3508,-0.093508,False,101.6578,1.6578,0.016578,-0.110085,False
atr_k4,2025-12-01,VALE,0.756,0.02345420463186243,2025-12-01,12.0522,2026-03-05,15.42,atr_trail,94,100.0,127.9439,27.9439,0.279439,False,100.4488,0.4488,0.004488,0.274951,True
atr_k4,2025-12-01,UTHR,0.67,0.0232719000907311,2025-12-01,479.95,2025-12-31,487.25,atr_trail,30,100.0,101.521,1.521,0.01521,False,100.5388,0.5388,0.005388,0.009822,True
atr_k4,2025-12-01,TMO,0.669,0.021795384397548023,2025-12-01,584.1329,2026-01-29,591.5751,atr_trail,59,100.0,101.2741,1.2741,0.012741,False,102.3257,2.3257,0.023257,-0.010516,False
atr_k4,2025-12-01,AAPL,0.706,0.02107372554380138,2025-12-01,282.575,2025-12-15,273.6017,atr_trail,14,100.0,96.8244,-3.1756,-0.031756,False,100.0676,0.0676,0.000676,-0.032432,False
atr_k4,2025-12-01,AZTA,0.578,0.017765656280792408,2025-12-01,34.86,2025-12-29,34.68,atr_trail,28,100.0,99.4836,-0.5164,-0.005164,False,101.413,1.413,0.01413,-0.019294,False
atr_k4,2025-12-01,BABA,0.586,0.016567850209439516,2025-12-01,162.7652,2025-12-16,147.9314,atr_trail,15,100.0,90.8864,-9.1136,-0.091136,False,99.7942,-0.2058,-0.002058,-0.089078,False
atr_k4,2025-12-01,CSCO,0.667,0.016163221168648878,2025-12-01,75.2276,2026-01-02,75.6302,atr_trail,32,100.0,100.5351,0.5351,0.005351,False,100.7231,0.7231,0.007231,-0.001879,False
atr_k4,2025-12-01,BCS,0.642,0.015753242254312738,2025-12-01,22.4804,2026-02-05,25.1781,atr_trail,66,100.0,112.0,12.0,0.12,False,99.9048,-0.0952,-0.000952,0.120952,True
atr_k4,2025-12-01,APP,0.553,0.012563167199420855,2025-12-01,623.59,2026-01-02,618.32,atr_trail,32,100.0,99.1549,-0.8451,-0.008451,False,100.7231,0.7231,0.007231,-0.015682,False
atr_k4,2025-12-01,AXP,0.613,0.012428016302265865,2025-12-01,358.3784,2026-01-12,358.4568,atr_trail,42,100.0,100.0219,0.0219,0.000219,False,102.4908,2.4908,0.024908,-0.024689,False
atr_k4,2025-12-01,AZN,0.604,0.012309997124248406,2025-12-01,179.1721,2026-03-12,192.5,atr_trail,101,100.0,107.4386,7.4386,0.074386,False,98.2004,-1.7996,-0.017996,0.092382,True
atr_k4,2025-12-01,APG,0.608,0.012146470411791288,2025-12-01,38.98,2026-03-05,42.09,atr_trail,94,100.0,107.9785,7.9785,0.079785,False,100.4488,0.4488,0.004488,0.075296,True
atr_k4,2025-12-01,AVGO,0.563,0.011784329856131759,2025-12-01,384.536,2025-12-15,338.4511,atr_trail,14,100.0,88.0154,-11.9846,-0.119846,False,100.0676,0.0676,0.000676,-0.120522,False
atr_k4,2025-12-01,CCJ,0.547,0.011406938483085938,2025-12-01,87.53,2026-02-05,109.28,atr_trail,66,100.0,124.8486,24.8486,0.248486,False,99.9048,-0.0952,-0.000952,0.249438,True
atr_k4,2025-12-01,GS,0.604,0.01063361906273852,2025-12-01,799.1141,2026-02-05,881.8619,atr_trail,66,100.0,110.355,10.355,0.10355,False,99.9048,-0.0952,-0.000952,0.104502,True
atr_k4,2025-12-01,AVAV,0.538,0.007557422017004489,2025-12-01,257.8,2025-12-12,239.0,atr_trail,11,100.0,92.7075,-7.2925,-0.072925,False,100.219,0.219,0.00219,-0.075115,False
atr_k4,2025-12-01,DELL,0.542,0.007356997271979582,2025-12-01,131.109,2025-12-18,122.0269,atr_trail,17,100.0,93.0729,-6.9271,-0.069271,False,99.4414,-0.5586,-0.005586,-0.063685,False
atr_k4,2025-12-01,NVDA,0.551,0.007266196212135423,2025-12-01,179.6908,2026-02-04,173.9778,atr_trail,65,100.0,96.8207,-3.1793,-0.031793,False,101.1683,1.1683,0.011683,-0.043477,False
atr_k4,2025-12-01,RY,0.641,0.006847532378551069,2025-12-01,151.8499,2026-01-20,166.3009,atr_trail,50,100.0,109.5166,9.5166,0.095166,False,99.8989,-0.1011,-0.001011,0.096178,True
atr_k4,2025-12-01,ALIZY,0.565,0.004259569486146919,2025-12-01,41.0057,2026-01-12,42.3738,atr_trail,42,100.0,103.3364,3.3364,0.033364,False,102.4908,2.4908,0.024908,0.008457,True
atr_k4,2025-12-01,UNM,0.54,0.0032053032342449495,2025-12-01,74.3044,2026-01-16,75.1838,atr_trail,46,100.0,101.1835,1.1835,0.011835,False,101.9748,1.9748,0.019748,-0.007913,False
atr_k4,2025-12-01,FTNT,0.522,0.0020973130373636018,2025-12-01,81.82,2025-12-17,79.38,atr_trail,16,100.0,97.0178,-2.9822,-0.029822,False,98.6961,-1.3039,-0.013039,-0.016783,False
atr_k4,2025-12-01,UNH,0.512,0.0016000716658375325,2025-12-01,318.5747,2026-01-27,280.5192,atr_trail,57,100.0,88.0544,-11.9456,-0.119456,False,102.5394,2.5394,0.025394,-0.14485,False
atr_k4,2025-12-15,COHR,0.65,0.04872310673953528,2025-12-15,178.45,2026-03-30,219.65,atr_trail,105,100.0,123.0877,23.0877,0.230877,False,93.3657,-6.6343,-0.066343,0.29722,True
atr_k4,2025-12-15,ISRG,0.667,0.02704103960034132,2025-12-15,559.52,2026-01-14,546.76,atr_trail,30,100.0,97.7195,-2.2805,-0.022805,False,101.7143,1.7143,0.017143,-0.039949,False
atr_k4,2025-12-15,JNJ,0.849,0.0257925018263514,2025-12-15,211.8193,2026-01-09,202.1466,atr_trail,25,100.0,95.4335,-4.5665,-0.045665,False,102.2609,2.2609,0.022609,-0.068274,False
atr_k4,2025-12-15,IDEXY,0.671,0.02314438485659931,2025-12-15,15.7861,2026-01-20,15.8353,atr_trail,36,100.0,100.3113,0.3113,0.003113,False,99.8314,-0.1686,-0.001686,0.0048,True
atr_k4,2025-12-15,TMO,0.686,0.023104214491500796,2025-12-15,575.3412,2026-01-29,591.5751,atr_trail,45,100.0,102.8216,2.8216,0.028216,False,102.2565,2.2565,0.022565,0.005651,True
atr_k4,2025-12-15,KDP,0.629,0.015194011358456772,2025-12-15,28.7362,2025-12-31,27.5368,atr_trail,16,100.0,95.8262,-4.1738,-0.041738,False,100.4708,0.4708,0.004708,-0.046446,False
atr_k4,2025-12-15,HAYW,0.565,0.008380840037055526,2025-12-15,15.97,2026-02-03,15.49,atr_trail,50,100.0,96.9944,-3.0056,-0.030056,False,101.592,1.592,0.01592,-0.045977,False
atr_k4,2025-12-15,TM,0.579,0.008112709600623269,2025-12-15,214.81,2026-03-05,221.48,atr_trail,80,100.0,103.1051,3.1051,0.031051,False,100.3809,0.3809,0.003809,0.027241,True
atr_k4,2025-12-15,COF,0.567,0.0076505511710902585,2025-12-15,237.8748,2026-01-12,231.3182,atr_trail,28,100.0,97.2437,-2.7563,-0.027563,False,102.4215,2.4215,0.024215,-0.051779,False
atr_k4,2025-12-15,CVCO,0.53,0.005818001802332828,2025-12-15,598.17,2026-01-27,632.89,atr_trail,43,100.0,105.8044,5.8044,0.058044,False,102.4702,2.4702,0.024702,0.033342,True
atr_k4,2025-12-15,BCE,0.562,0.0044992398452330384,2025-12-15,23.3155,2025-12-22,22.4464,atr_trail,7,100.0,96.2728,-3.7272,-0.037272,False,100.8996,0.8996,0.008996,-0.046268,False
atr_k4,2025-12-15,IFF,0.545,0.004420901058443061,2025-12-15,63.4031,2026-03-05,74.9374,atr_trail,80,100.0,118.192,18.192,0.18192,False,100.3809,0.3809,0.003809,0.178111,True
atr_k4,2025-12-15,MET,0.54,0.003290334085508162,2025-12-15,81.3985,2026-01-12,77.1714,atr_trail,28,100.0,94.8069,-5.1931,-0.051931,False,102.4215,2.4215,0.024215,-0.076146,False
atr_k4,2025-12-15,BMO,0.541,0.0024284140937009813,2025-12-15,131.0053,2026-03-13,134.4573,atr_trail,88,100.0,102.635,2.635,0.02635,False,97.5786,-2.4214,-0.024214,0.050563,True
atr_k4,2025-12-15,APO,0.515,0.00218718150967101,2025-12-15,145.6186,2026-01-20,137.4962,atr_trail,36,100.0,94.4221,-5.5779,-0.055779,False,99.8314,-0.1686,-0.001686,-0.054093,False
atr_k4,2025-12-15,AXAHY,0.53,0.0019219659426228386,2025-12-15,45.237,2026-01-09,43.9434,atr_trail,25,100.0,97.1405,-2.8595,-0.028595,False,102.2609,2.2609,0.022609,-0.051205,False
atr_k4,2025-12-15,CRM,0.513,0.0018825669232021003,2025-12-15,252.883,2026-01-13,239.8396,atr_trail,29,100.0,94.8421,-5.1579,-0.051579,False,102.2167,2.2167,0.022167,-0.073746,False
atr_k4,2025-12-15,D,0.526,0.0015603968386634914,2025-12-15,58.622,2026-03-04,61.9497,atr_trail,79,100.0,105.6765,5.6765,0.056765,False,100.9438,0.9438,0.009438,0.047327,True
atr_k4,2025-12-15,VTEB,0.662,0.0012976467163468008,2025-12-15,49.3864,2026-06-12,50.3,open,179,100.0,101.8499,1.8499,0.018499,True,109.5843,9.5843,0.095843,-0.077344,False
atr_k4,2025-12-15,CL,0.513,0.0010452028353857834,2025-12-15,78.459,2026-03-05,92.0976,atr_trail,80,100.0,117.3832,17.3832,0.173832,False,100.3809,0.3809,0.003809,0.170022,True
atr_k4,2025-12-15,UNH,0.505,0.0006469968858975328,2025-12-15,338.4687,2026-01-27,280.5192,atr_trail,43,100.0,82.8789,-17.1211,-0.171211,False,102.4702,2.4702,0.024702,-0.195912,False
atr_k4,2026-01-01,GOOGL,0.708,0.028974689822372612,2026-01-02,314.7403,2026-02-06,322.4403,atr_trail,35,100.0,102.4465,2.4465,0.024465,False,101.0905,1.0905,0.010905,0.01356,True
atr_k4,2026-01-01,WFC,0.655,0.01720484420415236,2026-01-02,94.1959,2026-01-14,88.3086,atr_trail,12,100.0,93.75,-6.25,-0.0625,False,101.0524,1.0524,0.010524,-0.073024,False
atr_k4,2026-01-01,PUK,0.655,0.01299341603508597,2026-01-02,31.2264,2026-02-12,29.3908,atr_trail,41,100.0,94.1214,-5.8786,-0.058786,False,99.7219,-0.2781,-0.002781,-0.056005,False
atr_k4,2026-01-01,NVDA,0.501,0.00026891810838791663,2026-01-02,188.6199,2026-02-04,173.9778,atr_trail,33,100.0,92.2372,-7.7628,-0.077628,False,100.4421,0.4421,0.004421,-0.082048,False
