rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
trail_10,2026-01-01,NVDA,0.501,0.00026891863854916487,2026-01-02,188.6199,2026-02-05,171.6706,trail,34,100.0,91.014,-8.986,-0.08986,False,99.1876,-0.8124,-0.008124,-0.081736,False
trail_10,2026-01-15,PRU,0.736,0.017773383395647713,2026-01-15,113.3272,2026-02-04,99.4473,trail,20,100.0,87.7523,-12.2477,-0.122477,False,99.126,-0.874,-0.00874,-0.113737,False
trail_10,2026-01-15,ACN,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-03,239.1817,trail,19,100.0,83.8204,-16.1796,-0.161796,False,99.6085,-0.3915,-0.003915,-0.157881,False
trail_10,2026-02-01,GOOGL,0.698,0.023655762915464784,2026-02-02,343.2432,2026-02-12,308.5983,trail,10,100.0,89.9066,-10.0934,-0.100934,False,97.9667,-2.0333,-0.020333,-0.080601,False
trail_10,2026-02-01,T,0.611,0.009840774168441202,2026-02-02,26.0276,2026-04-13,25.61,trail,70,100.0,98.3956,-1.6044,-0.016044,False,98.9307,-1.0693,-0.010693,-0.005351,False
trail_10,2026-02-15,IFF,0.719,0.028192771912982417,2026-02-17,82.2542,2026-03-06,73.3369,trail,17,100.0,89.1588,-10.8412,-0.108412,False,98.4667,-1.5333,-0.015333,-0.093079,False
trail_10,2026-02-15,ETN,0.619,0.01644034161070862,2026-02-17,389.1975,2026-03-06,345.7137,trail,17,100.0,88.8273,-11.1727,-0.111727,False,98.4667,-1.5333,-0.015333,-0.096394,False
trail_10,2026-03-01,MU,0.703,0.06241040664267716,2026-03-02,412.4967,2026-03-06,370.1445,trail,4,100.0,89.7327,-10.2673,-0.102673,False,97.9603,-2.0397,-0.020397,-0.082276,False
trail_10,2026-03-01,LRCX,0.682,0.04527807643948378,2026-03-02,230.7236,2026-03-06,199.33,trail,4,100.0,86.3934,-13.6066,-0.136066,False,97.9603,-2.0397,-0.020397,-0.115669,False
trail_10,2026-03-15,BK,0.526,0.002373706105123885,2026-03-16,114.9238,2026-06-12,143.98,open,88,100.0,125.283,25.283,0.25283,True,111.1722,11.1722,0.111722,0.141107,True
trail_10,2026-04-01,PFE,0.655,0.015892193759035944,2026-04-01,28.0864,2026-06-12,26.21,open,72,100.0,93.3192,-6.6808,-0.066808,True,113.2028,13.2028,0.132028,-0.198836,False
trail_10,2026-05-01,GLW,0.617,0.03621862459714831,2026-05-01,158.0178,2026-05-18,178.2768,trail,17,100.0,112.8207,12.8207,0.128207,False,102.4977,2.4977,0.024977,0.103229,True
